ファッション,1,0
ガジェット,1,1
スイーツ,1,2
写真・カメラ,1,3
音楽,1,4
カフェ,1,5
お酒,1,6
カラオケ,1,7
ダーツ・ビリヤード,1,8
ボーリング,1,9
スポーツジム,2,10
フットサル,2,11
キックボクシング,2,12
バトミントン,2,13
卓球,2,14
サッカー,2,15
テニス,2,16
野球,2,17
ボルダリング,2,18
ランニング,2,19
ラフティング,3,20
キャンプ,3,21
スノーボード,3,22
サーフィン,3,23
自転車・車,3,24
遊園地,3,25
旅行,3,26
プログラム,4,27
デザイン,4,28
企画,4,29
マーケティング,4,30
営業,4,31
語学,4,32
海外勤務,4,33
漫画・アニメ,5,34
料理,5,35
映画,5,36
芸術,5,37
スポーツ観戦,5,38
動物好き,5,39
芸能・エンタメ,5,40
ゲーム,5,41
